time,acc_x,acc_y,acc_z,gyro_pitch,gyro_roll,gyro_yaw,input_freq
1738609331.739522,23,-26,-18,-119,-1690,8130,f
1738609331.743696,21,-10,-10,-244,-2229,8296,f
1738609331.747898,18,21,5,-419,-2227,8323,f
1738609331.752917,12,55,19,-514,-1626,8121,f
1738609331.75699,2,78,31,-450,-1454,8153,f
1738609331.7620091,5,76,30,-263,-1410,8193,f
1738609331.767021,5,64,24,-35,-1061,8107,f
1738609331.771534,13,-10,-4,149,-1284,8187,f
1738609331.7756212,21,-31,-10,-10,-1516,8155,f
1738609331.779681,22,-31,-7,-117,-1508,8099,f
1738609331.783713,19,-18,0,-175,-1963,8192,f
1738609331.7877681,15,0,15,-330,-2310,8310,f
1738609331.791807,8,35,31,-486,-1985,8166,f
1738609331.7960231,-3,65,49,-490,-1426,8090,f
1738609331.800181,-8,77,56,-369,-1389,8152,f
1738609331.805202,-9,68,53,-146,-1200,8156,f
1738609331.810225,-8,43,41,154,-818,8036,f
1738609331.815242,-3,3,25,266,-908,8081,f
1738609331.819574,10,-39,3,-28,-1444,8085,f
1738609331.8236318,14,-25,6,-128,-1630,8085,f
1738609331.82797,16,-5,18,-221,-2212,8264,f
1738609331.832997,14,29,33,-377,-2268,8268,f
1738609331.838036,6,68,49,-462,-1683,8105,f
1738609331.84305,1,92,61,-399,-1436,8086,f
1738609331.8474472,-6,77,50,82,-938,7998,f
1738609331.851585,-6,40,33,301,-838,7985,f
1738609331.855768,-1,-4,10,262,-1328,8123,f
1738609331.860066,5,-22,0,46,-1452,8096,f
1738609331.865087,5,-13,0,-122,-1543,8038,f
1738609331.870111,6,4,10,-229,-2122,8208,f
1738609331.875134,6,29,22,-375,-2387,8304,f
1738609331.879606,-6,91,60,-433,-1395,8072,f
1738609331.8838022,-6,91,60,-274,-1372,8114,f
1738609331.8888419,-8,69,53,60,-971,7972,f
1738609331.893866,-11,31,35,293,-752,7918,f
1738609331.89889,-7,-16,10,326,-1226,8073,f
1738609331.903606,4,-32,-4,-85,-1550,8051,f
1738609331.907774,10,-11,3,-191,-2079,8193,f
1738609331.9118452,15,22,18,-368,-2423,8336,f
1738609331.915961,12,67,38,-480,-1865,8169,f
1738609331.9209962,7,94,48,-441,-1450,8068,f
1738609331.9260201,7,99,51,-251,-1356,8130,f
1738609331.9310331,6,78,40,99,-942,8018,f
1738609331.9356391,12,-9,-3,307,-1299,8126,f
1738609331.939729,18,-29,-13,57,-1488,8110,f
1738609331.9445171,20,-19,-11,-127,-1603,8082,f
1738609331.949528,20,6,-2,-260,-2171,8248,f
