time,acc_x,acc_y,acc_z,gyro_pitch,gyro_roll,gyro_yaw,input_freq
1738609361.3956292,0,0,0,0,0,0,f
1738609361.400573,41,48,-35,-44,-2507,8013,f
1738609361.4055839,44,50,-31,-35,-2538,7948,f
1738609361.410594,46,52,-24,-32,-2550,7911,f
1738609361.415327,40,56,-12,-15,-2563,7802,f
1738609361.4203498,40,56,-12,-15,-2563,7802,f
1738609361.425361,35,54,-6,1,-2510,7761,f
1738609361.430389,24,54,1,9,-2506,7728,f
1738609361.435573,4,51,10,24,-2495,7712,f
1738609361.43972,-4,47,11,15,-2466,7705,f
1738609361.444743,-8,46,19,0,-2482,7709,f
1738609361.449758,-13,41,21,3,-2459,7705,f
1738609361.4547892,-15,38,22,23,-2445,7708,f
1738609361.4593549,-15,32,16,15,-2393,7713,f
1738609361.464363,-11,29,8,0,-2424,7691,f
1738609361.4693902,-7,26,2,-24,-2434,7685,f
1738609361.474404,-2,26,-11,-60,-2441,7709,f
1738609361.479439,12,39,-40,-86,-2465,7736,f
1738609361.483485,21,57,-59,-92,-2496,7727,f
1738609361.4875379,30,78,-80,-92,-2516,7699,f
1738609361.492556,35,99,-101,-81,-2541,7727,f
1738609361.496784,43,124,-124,-83,-2493,7717,f
1738609361.501809,49,149,-146,-70,-2504,7728,f
1738609361.5068328,60,164,-167,-76,-2514,7714,f
1738609361.511322,80,192,-210,-36,-2475,7728,f
1738609361.515466,87,202,-233,-46,-2482,7727,f
1738609361.5204768,101,202,-252,-30,-2461,7685,f
1738609361.5254998,109,201,-275,-39,-2447,7674,f
1738609361.53053,118,196,-292,-26,-2452,7686,f
1738609361.535321,127,180,-329,-3,-2415,7671,f
1738609361.5393422,132,174,-344,-41,-2411,7641,f
1738609361.543427,134,167,-358,-29,-2417,7631,f
1738609361.547464,133,161,-369,-33,-2398,7607,f
1738609361.5515058,130,157,-377,-72,-2432,7563,f
1738609361.555595,119,150,-378,-47,-2441,7549,f
1738609361.560632,109,150,-376,-43,-2440,7569,f
1738609361.565641,97,146,-374,-29,-2427,7517,f
1738609361.570223,83,147,-366,-21,-2440,7529,f
1738609361.575309,51,145,-347,-7,-2378,7527,f
1738609361.579508,34,143,-330,8,-2389,7509,f
1738609361.584524,16,143,-320,12,-2401,7525,f
1738609361.589537,-3,137,-309,98,-2382,7382,f
1738609361.594547,-85,119,-257,263,-2362,6967,f
1738609361.599631,-299,39,3,52,-1849,8331,f
1738609361.6037052,-395,-22,224,-5,-1785,8769,f
1738609361.608725,-484,-87,456,-108,-1785,9073,f
1738609361.613747,-538,-136,645,-133,-1556,9233,f
1738609361.618259,-562,-187,809,133,-1439,9200,f
1738609361.6233542,-523,-237,960,-217,-3162,9552,f
1738609361.627724,-455,-179,968,-410,-2111,8981,f
1738609361.6327438,-376,-130,917,-239,-1791,8523,f
1738609361.637768,-308,-115,820,66,-2380,8470,f
1738609361.642366,-246,-108,696,214,-2493,8311,f
1738609361.647312,-96,-94,382,220,-1675,7837,f
1738609361.651528,-31,-104,226,119,-2147,7805,f
1738609361.655599,21,-97,77,-159,-2455,7698,f
1738609361.65965,58,-73,-46,-323,-2339,7572,f
1738609361.664671,75,-57,-125,-521,-2543,7577,f
1738609361.669694,74,-34,-173,-876,-3101,7684,f
1738609361.674718,59,8,-179,-1290,-3382,7669,f
1738609361.6793752,14,101,-144,-1138,-3039,7412,f
1738609361.6835132,-18,117,-124,-781,-3244,7483,f
1738609361.688525,-46,121,-106,-522,-3091,7454,f
1738609361.6935449,-68,120,-96,-340,-2564,7320,f
1738609361.698573,-86,111,-98,-181,-2518,7171,f
1738609361.7027562,-110,98,-101,-88,-2999,7389,f
1738609361.713562,-133,93,-96,-144,-3036,7581,f
1738609361.726683,-133,93,-96,-144,-3036,7581,f
1738609361.733141,-140,102,-86,-147,-2680,7725,f
1738609361.7381551,-134,102,-80,-14,-2727,7821,f
1738609361.7431839,-149,100,-44,128,-2806,8179,f
1738609361.747712,-154,104,-25,233,-2154,8140,f
1738609361.75191,-156,96,-17,375,-1824,8151,f
1738609361.756935,-163,73,-10,468,-1986,8212,f
1738609361.7619698,-168,53,-3,427,-1839,8276,f
1738609361.766986,-156,35,0,286,-1433,8338,f
1738609361.771269,-104,6,-10,-15,-2101,8594,f
1738609361.775363,-72,14,-8,-222,-2207,8717,f
1738609361.779389,-33,31,-7,-294,-2013,8658,f
1738609361.784399,1,41,-19,-274,-2181,8595,f
1738609361.789422,23,52,-32,-262,-2630,8570,f
